Название вакансии,Название компании,Зарплата,Ссылка на вакансию
Инженер-электронщик станков ЧПУ,ООО Новые решения,от 100 000 ₽ на руки,https://adsrv.hh.ru/click?b=1001877&place=36&meta=iJpgeFOkznQ7iwCMnT7myiiMuCFlEv-9V96WU5jsFN2X9wpPbujjW27scnJFkRgpX_9-QFRHP2SR7as2uizqHVNRg9PVJVOIQmxKVfTq-zfd30qM32k0dWKGZAk7NWEeQTRhfpuqqhI304g_Sp9KXa6xg2ILN1w5qsoobs9igvrZwS72adYGzYaEMoFV84QQvvRZzgN1wgc_uHoqvKfudNTMa933P_3i9stM81UwFPOBIG3hqFWI5Ci1gcQcDqLfvYRZUpZYTAellLdZnJWxlFl8Omux0Dj2aicoZADhKtexfekaRMTKMsPmFbOoFQcOL53Grc8uFH36K8JXflGQCAu_lEwBkkuwFoqjfIgMbKV4QhV2Qnuc01Sf9GeFSEw3QPhFRLAx1S7kiaokUCDDogk9d5w_JMKbawJYxwBpjbkttkfZw52aIj_0aT7FeqopjEDO7eXzZmM5cloE1j-MLCTomfIFnH3pvKUXtbI3orFD-Wg-n9QNsXfPgjwLhgiwZHiPsUk7o_Q0jH7bz9W6yw%3D%3D&clickType=link_to_vacancy
Специалист поддержки пользователей,Яндекс Крауд: Поддержка,от 30 000 ₽ на руки,https://perm.hh.ru/vacancy/91211316?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Консультант поддержки в Яндекс Путешествия,Яндекс Крауд: Поддержка,от 30 000 ₽ на руки,https://perm.hh.ru/vacancy/94733356?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
FullStack-разработчик,ООО ИТ-Сворм,от 135 000 ₽ на руки,https://perm.hh.ru/vacancy/97400486?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
1С Программист,ООО Квадрат,90 000 – 130 000 ₽ на руки,https://perm.hh.ru/vacancy/99697940?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер-программист технологического бюро,АО Редуктор-ПМ,60 000 – 100 000 ₽ на руки,https://perm.hh.ru/vacancy/93583837?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик PHP (junior / junior+),СТАРТМЕДИА,40 000 – 80 000 ₽ на руки,https://perm.hh.ru/vacancy/98470683?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик PHP (Junior+/Premiddle),ООО Стокинг,80 000 – 100 000 ₽ на руки,https://perm.hh.ru/vacancy/90559922?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
CV&ML developer,ООО Роботех,от 150 000 ₽ на руки,https://perm.hh.ru/vacancy/98433641?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист C#,HR Агент,от 160 000 ₽ на руки,https://perm.hh.ru/vacancy/98999071?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-интегратор (программист ПЛК),НПП ТИК,60 000 – 90 000 ₽ на руки,https://perm.hh.ru/vacancy/95169968?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,"Пермский пороховой завод, ФКП",от 57 600 ₽ на руки,https://perm.hh.ru/vacancy/92067245?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java-разработчик,Eclipse Digital,200 000 – 280 000 ₽ до вычета налогов,https://perm.hh.ru/vacancy/98627347?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,Филиал ЗиД АО НПО Курганприбор г. Пермь,от 55 600 ₽ на руки,https://perm.hh.ru/vacancy/95617850?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Пермагробизнес,от 120 000 ₽ на руки,https://perm.hh.ru/vacancy/98247502?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,IT-Сервис,150 000 – 200 000 ₽ на руки,https://perm.hh.ru/vacancy/99573894?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,"Демидыч, Компания",от 120 000 ₽ на руки,https://perm.hh.ru/vacancy/98221614?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
